dataset,model,mase,mase_med,mape,wql,cov80,sec,n
bangkok_pm25_1h,autoets,0.7067,0.6402,43.4513,0.292,90.8854,0.6493,16
bangkok_pm25_1h,autotheta,0.6363,0.4985,32.1119,0.3107,92.7083,0.1104,16
bangkok_pm25_1h,chronos_2_ctx2048,0.6475,0.5026,32.1774,0.249,78.6458,0.0159,16
bangkok_pm25_1h,chronos_bolt_small,0.6624,0.5306,34.1449,0.2587,77.0833,0.0056,16
bangkok_pm25_1h,gbdt_calendar,0.8805,0.6371,49.7573,,,1.7928,16
bangkok_pm25_1h,mstl,0.7139,0.4772,42.6471,0.3446,80.4688,0.158,16
bangkok_pm25_1h,naive_last,0.5894,0.4537,28.445,,,0.0,16
bangkok_pm25_1h,naive_mean,1.6543,1.6615,135.8627,,,0.0,16
bangkok_pm25_1h,seasonal_naive,0.8096,0.6339,42.395,,,0.0,16
bangkok_pm25_1h,seasonal_profile,0.8299,0.6423,44.9344,,,0.0,16
bangkok_pm25_1h,timesfm_2p5_ctx2048,0.6751,0.548,34.8006,0.2689,76.3021,0.1973,16
bangkok_temp_1h,autoets,1.9161,1.9113,,0.056,72.3958,0.476,16
bangkok_temp_1h,autotheta,1.1397,0.8583,,0.0344,91.9271,0.1682,16
bangkok_temp_1h,chronos_2_ctx2048,0.9071,0.6932,,0.0257,78.125,0.015,16
bangkok_temp_1h,chronos_bolt_small,0.9002,0.724,,0.0254,81.7708,0.0058,16
bangkok_temp_1h,gbdt_calendar,1.7717,1.7229,,,,0.8221,16
bangkok_temp_1h,mstl,1.1302,0.9171,,0.0318,84.1146,0.1544,16
bangkok_temp_1h,naive_last,2.5206,2.4439,,,,0.0,16
bangkok_temp_1h,naive_mean,2.3169,2.141,,,,0.0,16
bangkok_temp_1h,seasonal_naive,1.3168,1.1386,,,,0.0,16
bangkok_temp_1h,seasonal_profile,1.2079,1.1234,,,,0.0,16
bangkok_temp_1h,timesfm_2p5_ctx2048,0.9176,0.7904,,0.0261,81.25,0.1898,16
boom_telemetry_5t,autoets,0.6663,0.2715,,2.8147,91.1675,1.8959,96
boom_telemetry_5t,autotheta,0.502,0.2822,,2.0635,86.3281,0.1112,96
boom_telemetry_5t,chronos_2_ctx2048,0.3566,0.2518,,0.2701,81.1849,0.0221,96
boom_telemetry_5t,chronos_bolt_small,0.4175,0.2525,,0.4676,79.2969,0.0065,96
boom_telemetry_5t,gbdt_calendar,0.9393,0.6623,,,,1.0503,96
boom_telemetry_5t,mstl,1.9251,1.4643,,7.1805,0.0,1.4057,96
boom_telemetry_5t,naive_last,0.5237,0.2824,,,,0.0,96
boom_telemetry_5t,naive_mean,2.0392,1.0941,,,,0.0,96
boom_telemetry_5t,seasonal_naive,1.0183,0.688,,,,0.0,96
boom_telemetry_5t,seasonal_profile,1.1218,0.7568,,,,0.0,96
boom_telemetry_5t,timesfm_2p5_ctx2048,0.4384,0.2339,,0.3267,83.724,0.2055,96
btc_returns_1h,autoets,0.6795,0.5723,,0.8757,86.9792,0.1764,16
btc_returns_1h,autotheta,0.708,0.6821,,0.9294,87.2396,0.1511,16
btc_returns_1h,chronos_2_ctx2048,0.6784,0.5653,,0.8007,76.3021,0.0182,16
btc_returns_1h,chronos_bolt_small,0.6781,0.5726,,0.8081,78.125,0.006,16
btc_returns_1h,gbdt_calendar,0.7296,0.6715,,,,1.0047,16
btc_returns_1h,mstl,0.7421,0.6356,,0.9246,82.2917,0.0369,16
btc_returns_1h,naive_last,0.9061,0.8114,,,,0.0,16
btc_returns_1h,naive_mean,0.6793,0.5685,,,,0.0,16
btc_returns_1h,seasonal_naive,1.0495,0.9136,,,,0.0,16
btc_returns_1h,seasonal_profile,0.7851,0.66,,,,0.0,16
btc_returns_1h,timesfm_2p5_ctx2048,0.6806,0.5678,,0.8204,74.4792,0.199,16
btc_usd_1h,autoets,0.6153,0.5109,0.9855,0.0078,89.3229,0.4852,16
btc_usd_1h,autotheta,0.587,0.5028,0.9426,0.0078,89.0625,0.2503,16
btc_usd_1h,chronos_2_ctx2048,0.5652,0.4499,0.9064,0.0073,85.9375,0.0193,16
btc_usd_1h,chronos_bolt_small,0.5824,0.5198,0.9314,0.0073,87.7604,0.0061,16
btc_usd_1h,gbdt_calendar,1.0863,0.7939,1.7406,,,1.1453,16
btc_usd_1h,mstl,0.6466,0.5252,1.0386,0.0083,83.5938,0.0422,16
btc_usd_1h,naive_last,0.585,0.4664,0.9372,,,0.0,16
btc_usd_1h,naive_mean,6.7659,7.6374,11.0459,,,0.0,16
btc_usd_1h,seasonal_naive,0.9197,0.8337,1.4908,,,0.0,16
btc_usd_1h,seasonal_profile,1.3502,0.7727,2.2221,,,0.0,16
btc_usd_1h,timesfm_2p5_ctx2048,0.5808,0.4612,0.9295,0.0073,88.8021,0.1954,16
london_temp_1h,autoets,1.7703,1.7159,,0.167,63.8021,0.5271,16
london_temp_1h,autotheta,0.8884,0.8926,,0.0835,70.0521,0.1072,16
london_temp_1h,chronos_2_ctx2048,0.8236,0.7332,,0.0787,67.9688,0.0201,16
london_temp_1h,chronos_bolt_small,0.8166,0.7302,,0.0768,73.4375,0.0086,16
london_temp_1h,gbdt_calendar,1.3337,1.0705,,,,2.1945,16
london_temp_1h,mstl,1.1149,1.0703,,0.1094,55.9896,0.1646,16
london_temp_1h,naive_last,1.7703,1.7156,,,,0.0,16
london_temp_1h,naive_mean,2.986,2.6561,,,,0.0,16
london_temp_1h,seasonal_naive,1.0615,0.9744,,,,0.0,16
london_temp_1h,seasonal_profile,1.3475,1.2992,,,,0.0,16
london_temp_1h,timesfm_2p5_ctx2048,0.7423,0.6626,,0.0715,81.7708,0.2466,16
quake_magnitude_seq,autoets,0.8347,0.7995,5.8266,0.0474,88.5417,0.4773,16
quake_magnitude_seq,autotheta,0.8639,0.8293,6.0611,0.049,89.5833,0.2492,16
quake_magnitude_seq,chronos_2_ctx2048,0.7762,0.7389,5.2622,0.0449,61.4583,0.014,16
quake_magnitude_seq,chronos_bolt_small,0.7777,0.7424,5.2581,0.045,66.9271,0.0064,16
quake_magnitude_seq,gbdt_calendar,0.8942,0.8379,6.2725,,,0.9922,16
quake_magnitude_seq,mstl,0.8742,0.8485,6.1269,0.0505,80.7292,0.0516,16
quake_magnitude_seq,naive_last,0.9698,0.9082,6.7049,,,0.0,16
quake_magnitude_seq,naive_mean,0.8341,0.8019,5.8276,,,0.0,16
quake_magnitude_seq,seasonal_naive,1.0907,1.0746,7.713,,,0.0,16
quake_magnitude_seq,seasonal_profile,0.8532,0.8235,5.9259,,,0.0,16
quake_magnitude_seq,timesfm_2p5_ctx2048,0.7798,0.739,5.3099,0.0452,80.4688,0.2028,16
uk_demand_30min,autoets,2.6626,2.6401,19.3819,0.1531,66.4062,0.6894,16
uk_demand_30min,autotheta,1.0381,0.92,7.9746,0.064,62.1094,0.185,16
uk_demand_30min,chronos_2_ctx2048,0.5734,0.4896,4.4145,0.0356,76.8229,0.3094,16
uk_demand_30min,chronos_bolt_small,0.7831,0.8123,6.1253,0.0499,54.4271,0.1305,16
uk_demand_30min,gbdt_calendar,1.2987,1.0816,10.2888,,,1.3271,16
uk_demand_30min,mstl,0.7192,0.5754,5.6592,0.045,76.1719,0.2877,16
uk_demand_30min,naive_last,2.3264,2.269,16.7403,,,0.0,16
uk_demand_30min,naive_mean,2.7509,2.5895,22.2341,,,0.0,16
uk_demand_30min,seasonal_naive,0.9539,0.6999,7.2971,,,0.0,16
uk_demand_30min,seasonal_profile,1.245,1.0606,9.7709,,,0.0,16
uk_demand_30min,timesfm_2p5_ctx2048,0.5695,0.5187,4.6001,0.0374,74.6094,0.3327,16
uk_demand_daily,autoets,0.7993,0.6583,5.1369,0.0401,89.2857,0.1304,16
uk_demand_daily,autotheta,0.8257,0.6434,5.3238,0.0413,88.3929,0.0766,16
uk_demand_daily,chronos_2_ctx2048,0.7816,0.7054,4.9983,0.0393,83.9286,0.0054,16
uk_demand_daily,chronos_bolt_small,0.7741,0.714,4.925,0.0382,79.4643,0.0026,16
uk_demand_daily,gbdt_calendar,1.1176,0.9613,7.1925,,,0.5029,16
uk_demand_daily,mstl,0.8206,0.6197,5.3215,0.041,84.8214,0.0119,16
uk_demand_daily,naive_last,1.3117,1.1522,8.8654,,,0.0,16
uk_demand_daily,naive_mean,2.2805,2.3206,14.8153,,,0.0,16
uk_demand_daily,seasonal_naive,1.1477,0.9708,7.3607,,,0.0,16
uk_demand_daily,seasonal_profile,1.1187,0.9312,7.147,,,0.0,16
uk_demand_daily,timesfm_2p5_ctx2048,0.7052,0.6323,4.5516,0.0357,80.3571,0.1749,16
white_noise_synth,autoets,0.725,0.7203,,0.7699,79.9479,0.1763,16
white_noise_synth,autotheta,0.7655,0.7888,,0.8214,78.3854,0.2332,16
white_noise_synth,chronos_2_ctx2048,0.7214,0.6926,,0.7655,79.9479,0.017,16
white_noise_synth,chronos_bolt_small,0.7293,0.7104,,0.7749,80.4688,0.0066,16
white_noise_synth,gbdt_calendar,0.7758,0.7825,,,,0.9823,16
white_noise_synth,mstl,0.748,0.7479,,0.7993,75.7812,0.036,16
white_noise_synth,naive_last,0.9871,0.9168,,,,0.0,16
white_noise_synth,naive_mean,0.7256,0.7205,,,,0.0,16
white_noise_synth,seasonal_naive,0.9841,0.9617,,,,0.0,16
white_noise_synth,seasonal_profile,0.7878,0.784,,,,0.0,16
white_noise_synth,timesfm_2p5_ctx2048,0.7253,0.7207,,0.7698,79.9479,0.1967,16
