dataset,series,model,family,origin,date,mase,seconds,mape,wql,cov80
uk_demand_30min,-,naive_last,naive,2048,2025-02-12,3.0456868553259935,1.2161253835074604e-06,19.6417040652593,,
uk_demand_30min,-,naive_last,naive,3678,2025-03-18,2.532730827034012,1.2161253835074604e-06,16.557526395898904,,
uk_demand_30min,-,naive_last,naive,5308,2025-04-21,1.2125255872198963,1.2161253835074604e-06,9.796158623913536,,
uk_demand_30min,-,naive_last,naive,6937,2025-05-25,2.0232029680232184,1.2161253835074604e-06,18.967409458510044,,
uk_demand_30min,-,naive_last,naive,8567,2025-06-28,1.3427912553012498,1.2161253835074604e-06,12.06339112699744,,
uk_demand_30min,-,naive_last,naive,10197,2025-08-01,1.528507412105512,1.2161253835074604e-06,12.043566921106557,,
uk_demand_30min,-,naive_last,naive,11827,2025-09-04,2.208184563866706,1.2161253835074604e-06,17.121148690204997,,
uk_demand_30min,-,naive_last,naive,13457,2025-10-08,2.329870613448117,1.2161253835074604e-06,18.936769675048374,,
uk_demand_30min,-,naive_last,naive,15086,2025-11-11,2.959613597342569,1.2161253835074604e-06,18.46420646960915,,
uk_demand_30min,-,naive_last,naive,16716,2025-12-15,5.297159730353911,1.2161253835074604e-06,29.023082208637863,,
uk_demand_30min,-,naive_last,naive,18346,2026-01-18,3.5803644805360677,1.2161253835074604e-06,21.680765596112725,,
uk_demand_30min,-,naive_last,naive,19976,2026-02-21,2.4099273468038094,1.2161253835074604e-06,16.96764936653535,,
uk_demand_30min,-,naive_last,naive,21606,2026-03-27,2.4295122687310813,1.2161253835074604e-06,18.282355009576527,,
uk_demand_30min,-,naive_last,naive,23235,2026-04-30,1.391832296629787,1.2161253835074604e-06,14.366490379780869,,
uk_demand_30min,-,naive_last,naive,24865,2026-06-03,1.3468909962453604,1.2161253835074604e-06,10.040037055824653,,
uk_demand_30min,-,naive_last,naive,26495,2026-07-06,1.5832895147762058,1.2161253835074604e-06,13.891832865745569,,
uk_demand_30min,-,naive_mean,naive,2048,2025-02-12,3.2575706701424285,4.9426889745518565e-06,17.36095283951587,,
uk_demand_30min,-,naive_mean,naive,3678,2025-03-18,1.9617598115470158,4.9426889745518565e-06,14.560445498834559,,
uk_demand_30min,-,naive_mean,naive,5308,2025-04-21,2.6868451269003466,4.9426889745518565e-06,23.197861436852172,,
uk_demand_30min,-,naive_mean,naive,6937,2025-05-25,5.902953818385083,4.9426889745518565e-06,63.1680488096878,,
uk_demand_30min,-,naive_mean,naive,8567,2025-06-28,3.520804765539496,4.9426889745518565e-06,36.017844122746354,,
uk_demand_30min,-,naive_mean,naive,10197,2025-08-01,2.691307024899461,4.9426889745518565e-06,21.256775620808753,,
uk_demand_30min,-,naive_mean,naive,11827,2025-09-04,1.622797729482491,4.9426889745518565e-06,12.353866404510455,,
uk_demand_30min,-,naive_mean,naive,13457,2025-10-08,2.243674819115213,4.9426889745518565e-06,15.73970265861622,,
uk_demand_30min,-,naive_mean,naive,15086,2025-11-11,3.2276255572719528,4.9426889745518565e-06,19.167984706820715,,
uk_demand_30min,-,naive_mean,naive,16716,2025-12-15,3.8809966220753904,4.9426889745518565e-06,20.82189989492136,,
uk_demand_30min,-,naive_mean,naive,18346,2026-01-18,2.7526697718414033,4.9426889745518565e-06,16.761464748919806,,
