dataset,model,mase,mase_med,mape,wql,cov80,sec,n
bangkok_pm25_1h,autoets,0.8334,0.6512,60.3047,0.3926,80.2083,0.6297,20
bangkok_pm25_1h,autotheta,0.7252,0.5613,43.0691,0.3556,84.375,0.1038,20
bangkok_pm25_1h,chronos_2_ctx2048,0.6208,0.5811,39.0473,0.2916,71.0417,0.0206,20
bangkok_pm25_1h,chronos_bolt_small,0.5952,0.544,37.902,0.2751,73.75,0.0061,20
bangkok_pm25_1h,gbdt_calendar,0.7982,0.7465,57.1576,,,1.1458,20
bangkok_pm25_1h,naive_last,0.7106,0.5389,43.7683,,,0.0,20
bangkok_pm25_1h,naive_mean,1.4499,1.357,140.1143,,,0.0,20
bangkok_pm25_1h,seasonal_naive,0.7417,0.749,44.2325,,,0.0,20
bangkok_pm25_1h,seasonal_profile,0.6999,0.6582,44.2646,,,0.0,20
bangkok_pm25_1h,timesfm_2p5_ctx2048,0.6175,0.5552,41.3475,0.299,75.625,0.194,20
bangkok_temp_1h,autoets,2.2036,2.0081,,0.0631,78.9583,0.4851,20
bangkok_temp_1h,autotheta,1.2652,1.0996,,0.0368,92.7083,0.1783,20
bangkok_temp_1h,chronos_2_ctx2048,0.8776,0.8723,,0.0247,77.9167,0.0205,20
bangkok_temp_1h,chronos_bolt_small,0.8328,0.7902,,0.0232,87.7083,0.0063,20
bangkok_temp_1h,gbdt_calendar,1.6015,1.5321,,,,0.9031,20
bangkok_temp_1h,naive_last,2.3996,2.168,,,,0.0,20
bangkok_temp_1h,naive_mean,2.3147,2.2198,,,,0.0,20
bangkok_temp_1h,seasonal_naive,1.1619,1.0766,,,,0.0,20
bangkok_temp_1h,seasonal_profile,1.0392,1.0263,,,,0.0,20
bangkok_temp_1h,timesfm_2p5_ctx2048,0.8835,0.8722,,0.0244,84.5833,0.1704,20
boom_telemetry_5t,autoets,0.7051,0.2843,,1.8625,93.4201,1.4726,120
boom_telemetry_5t,autotheta,0.5143,0.2951,,1.4641,90.0347,0.1112,120
boom_telemetry_5t,chronos_2_ctx2048,0.3555,0.2215,,0.4138,84.3229,0.0226,120
boom_telemetry_5t,chronos_bolt_small,0.4075,0.2558,,0.4516,81.8924,0.0067,120
boom_telemetry_5t,gbdt_calendar,0.8124,0.6761,,,,1.1758,120
boom_telemetry_5t,naive_last,0.5282,0.2958,,,,0.0,120
boom_telemetry_5t,naive_mean,1.9264,1.0535,,,,0.0,120
boom_telemetry_5t,seasonal_naive,0.9389,0.7296,,,,0.0,120
boom_telemetry_5t,seasonal_profile,1.0375,0.7649,,,,0.0,120
boom_telemetry_5t,timesfm_2p5_ctx2048,0.4029,0.2626,,0.2901,86.7535,0.2042,120
btc_returns_1h,autoets,0.7383,0.6782,,0.8796,85.4167,0.177,20
btc_returns_1h,autotheta,0.7698,0.6979,,0.9255,87.0833,0.1476,20
btc_returns_1h,chronos_2_ctx2048,0.7379,0.6784,,0.7957,79.5833,0.0206,20
btc_returns_1h,chronos_bolt_small,0.74,0.6817,,0.8044,77.9167,0.0061,20
btc_returns_1h,gbdt_calendar,0.7989,0.7531,,,,0.9594,20
btc_returns_1h,naive_last,1.0224,0.8726,,,,0.0,20
btc_returns_1h,naive_mean,0.7386,0.679,,,,0.0,20
btc_returns_1h,seasonal_naive,1.0539,0.9776,,,,0.0,20
btc_returns_1h,seasonal_profile,0.8486,0.7982,,,,0.0,20
btc_returns_1h,timesfm_2p5_ctx2048,0.7397,0.6831,,0.8112,74.375,0.196,20
btc_usd_1h,autoets,0.6596,0.5832,1.0925,0.009,78.5417,0.4828,20
btc_usd_1h,autotheta,0.6647,0.604,1.1002,0.0093,77.2917,0.3119,20
btc_usd_1h,chronos_2_ctx2048,0.7106,0.5824,1.1797,0.0092,73.3333,0.0212,20
btc_usd_1h,chronos_bolt_small,0.7149,0.4947,1.1865,0.0095,76.875,0.0062,20
btc_usd_1h,gbdt_calendar,1.2709,1.1467,2.0897,,,1.2074,20
btc_usd_1h,naive_last,0.656,0.5576,1.0866,,,0.0,20
btc_usd_1h,naive_mean,6.6991,6.996,11.1681,,,0.0,20
btc_usd_1h,seasonal_naive,0.9178,0.931,1.5072,,,0.0,20
btc_usd_1h,seasonal_profile,1.3341,1.1111,2.198,,,0.0,20
btc_usd_1h,timesfm_2p5_ctx2048,0.6846,0.5422,1.1342,0.0089,79.7917,0.1948,20
london_temp_1h,autoets,1.7382,1.7666,,0.147,60.4167,0.531,20
london_temp_1h,autotheta,1.0481,0.9876,,0.0885,59.7917,0.1116,20
london_temp_1h,chronos_2_ctx2048,0.8508,0.7477,,0.0674,68.125,0.0208,20
