dataset,series,model,family,origin,date,mase,seconds,mape,wql,cov80
uk_demand_30min,-,naive_last,naive,2048,2025-02-12,3.0456868553259935,1.3042008504271507e-06,19.6417040652593,,
uk_demand_30min,-,naive_last,naive,3335,2025-03-11,1.8364169352416382,1.3042008504271507e-06,12.396225954212136,,
uk_demand_30min,-,naive_last,naive,4621,2025-04-07,1.4628571048171002,1.3042008504271507e-06,11.650467741865995,,
uk_demand_30min,-,naive_last,naive,5908,2025-05-04,1.2137764761810172,1.3042008504271507e-06,10.081310826586893,,
uk_demand_30min,-,naive_last,naive,7195,2025-05-30,3.3667611737187237,1.3042008504271507e-06,32.78252071514636,,
uk_demand_30min,-,naive_last,naive,8481,2025-06-26,1.4274975166839816,1.3042008504271507e-06,11.46253110745646,,
uk_demand_30min,-,naive_last,naive,9768,2025-07-23,1.2964926372319325,1.3042008504271507e-06,9.554380739900264,,
uk_demand_30min,-,naive_last,naive,11055,2025-08-19,1.7295743545302216,1.3042008504271507e-06,12.300369951843631,,
uk_demand_30min,-,naive_last,naive,12341,2025-09-15,2.9817837391720525,1.3042008504271507e-06,21.35516851965767,,
uk_demand_30min,-,naive_last,naive,13628,2025-10-11,1.943438342966721,1.3042008504271507e-06,15.202491598193832,,
uk_demand_30min,-,naive_last,naive,14915,2025-11-07,5.049351976885671,1.3042008504271507e-06,36.36592616051351,,
uk_demand_30min,-,naive_last,naive,16202,2025-12-04,2.6346094183577202,1.3042008504271507e-06,17.961453651699568,,
uk_demand_30min,-,naive_last,naive,17488,2025-12-31,2.350509018974673,1.3042008504271507e-06,17.3099731075251,,
uk_demand_30min,-,naive_last,naive,18775,2026-01-27,4.925507760665961,1.3042008504271507e-06,28.49143904240104,,
uk_demand_30min,-,naive_last,naive,20062,2026-02-22,3.2400809987679318,1.3042008504271507e-06,21.744055810016853,,
uk_demand_30min,-,naive_last,naive,21348,2026-03-21,2.63173592238765,1.3042008504271507e-06,26.184544866886373,,
uk_demand_30min,-,naive_last,naive,22635,2026-04-17,1.366047563059329,1.3042008504271507e-06,15.563092184944658,,
uk_demand_30min,-,naive_last,naive,23922,2026-05-14,1.4459917814775851,1.3042008504271507e-06,11.939128321001336,,
uk_demand_30min,-,naive_last,naive,25208,2026-06-10,1.8181852584626959,1.3042008504271507e-06,13.292098612781485,,
uk_demand_30min,-,naive_last,naive,26495,2026-07-06,1.5832895147762058,1.3042008504271507e-06,13.891832865745569,,
uk_demand_30min,-,naive_mean,naive,2048,2025-02-12,3.2575706701424285,4.6228989958763124e-06,17.36095283951587,,
uk_demand_30min,-,naive_mean,naive,3335,2025-03-11,1.8967442521693232,4.6228989958763124e-06,13.855233101836989,,
uk_demand_30min,-,naive_mean,naive,4621,2025-04-07,2.647095350911748,4.6228989958763124e-06,23.82590159219594,,
uk_demand_30min,-,naive_mean,naive,5908,2025-05-04,4.748023927908468,4.6228989958763124e-06,45.473164868775754,,
uk_demand_30min,-,naive_mean,naive,7195,2025-05-30,4.4012632731807155,4.6228989958763124e-06,42.324520401378145,,
uk_demand_30min,-,naive_mean,naive,8481,2025-06-26,2.5873364903926204,4.6228989958763124e-06,24.489662746673975,,
uk_demand_30min,-,naive_mean,naive,9768,2025-07-23,1.6590428628369087,4.6228989958763124e-06,12.580670506642935,,
uk_demand_30min,-,naive_mean,naive,11055,2025-08-19,1.7042685555766934,4.6228989958763124e-06,12.962010522045212,,
uk_demand_30min,-,naive_mean,naive,12341,2025-09-15,1.9700330448866068,4.6228989958763124e-06,17.415968827963614,,
uk_demand_30min,-,naive_mean,naive,13628,2025-10-11,1.6586424807038869,4.6228989958763124e-06,12.18740450566343,,
