dataset,model,mase,mase_med,mape,wql,cov80,sec,n
uk_demand_30min,autoets,2.6055,1.8906,20.2227,0.1481,75.0,0.6611,8
uk_demand_30min,autotheta,0.7062,0.5274,6.4143,0.0498,77.3438,0.2521,8
uk_demand_30min,chronos_2_ctx2048,0.4596,0.4185,3.9536,0.0298,77.8646,0.022,8
uk_demand_30min,chronos_bolt_small,0.493,0.4103,4.2805,0.0319,77.6042,0.0069,8
uk_demand_30min,gbdt_calendar,1.2382,1.1837,10.1618,,,1.3151,8
uk_demand_30min,mstl,0.4929,0.4027,4.0467,0.0328,84.375,0.2786,8
uk_demand_30min,naive_last,2.1344,1.7508,17.453,,,0.0,8
uk_demand_30min,naive_mean,2.9411,2.8353,24.0123,,,0.0,8
uk_demand_30min,seasonal_naive,0.807,0.6475,6.4635,,,0.0,8
uk_demand_30min,seasonal_profile,0.9715,1.0086,8.0473,,,0.0,8
uk_demand_30min,timesfm_2p5_ctx2048,0.5313,0.5253,4.5046,0.034,77.6042,0.1704,8
uk_demand_daily,autoets,0.6899,0.6131,4.6505,0.0369,85.7143,0.1782,8
uk_demand_daily,autotheta,0.6916,0.6181,4.7268,0.0378,87.5,0.0734,8
uk_demand_daily,chronos_2_ctx2048,0.7918,0.8128,5.4542,0.0426,69.6429,0.681,8
uk_demand_daily,chronos_bolt_small,0.7869,0.7209,5.378,0.0412,67.8571,0.2319,8
uk_demand_daily,gbdt_calendar,1.0541,1.0078,7.0991,,,0.6211,8
uk_demand_daily,mstl,0.7494,0.6925,5.0852,0.0404,78.5714,0.012,8
uk_demand_daily,naive_last,1.313,1.3214,8.7768,,,0.0,8
uk_demand_daily,naive_mean,2.2051,2.2585,15.0598,,,0.0,8
uk_demand_daily,seasonal_naive,1.0088,0.9976,7.0469,,,0.0,8
uk_demand_daily,seasonal_profile,0.8295,0.7837,5.7989,,,0.0,8
uk_demand_daily,timesfm_2p5_ctx2048,0.7625,0.7017,5.0568,0.0388,75.0,0.5364,8
