dataset,model,mase,mase_med,mape,wql,cov80,sec,n
uk_demand_30min,autoets,2.8887,2.992,20.3305,0.167,59.0278,0.7443,6
uk_demand_30min,autotheta,0.8854,0.8862,6.5543,0.0547,69.4444,0.2342,6
uk_demand_30min,chronos_2_ctx2048,0.6821,0.49,5.2254,0.0422,72.9167,0.8053,6
uk_demand_30min,chronos_bolt_small,0.7915,0.6304,6.366,0.053,52.4306,0.311,6
uk_demand_30min,gbdt_calendar,1.5429,1.4725,11.984,,,0.997,6
uk_demand_30min,naive_last,2.7645,2.3188,19.4879,,,0.0,6
uk_demand_30min,naive_mean,3.116,2.8055,24.9388,,,0.0,6
uk_demand_30min,seasonal_naive,1.2139,0.8382,9.1782,,,0.0,6
uk_demand_30min,seasonal_profile,1.2649,0.903,10.1475,,,0.0,6
uk_demand_30min,timesfm_2p5_ctx2048,0.5935,0.4499,4.8342,0.0412,75.3472,0.6487,6
white_noise_synth,autoets,0.702,0.6855,,0.773,81.9444,0.1744,6
white_noise_synth,autotheta,0.734,0.7212,,0.8037,80.5556,0.1921,6
white_noise_synth,chronos_2_ctx2048,0.7024,0.6828,,0.7727,81.9444,0.0272,6
white_noise_synth,chronos_bolt_small,0.7039,0.6862,,0.7778,82.6389,0.0098,6
white_noise_synth,gbdt_calendar,0.7559,0.7561,,,,1.1139,6
white_noise_synth,naive_last,0.9533,0.8271,,,,0.0,6
white_noise_synth,naive_mean,0.701,0.6865,,,,0.0,6
white_noise_synth,seasonal_naive,0.9697,0.9322,,,,0.0,6
white_noise_synth,seasonal_profile,0.7392,0.7583,,,,0.0,6
white_noise_synth,timesfm_2p5_ctx2048,0.7016,0.6862,,0.7729,81.9444,0.1819,6
