group,variate,origin,n_variates,mean_abs_corr,mase_joint,mase_single
ds-139-5T,v003,2048,8,0.164,0.006349245302275968,0.007791133202533128
ds-139-5T,v006,2048,8,0.164,0.034166983997570184,0.031578532388875286
ds-139-5T,v008,2048,8,0.164,0.09318500467624402,0.08843517155277629
ds-139-5T,v016,2048,8,0.164,0.00704335720196388,0.0064320302935827155
ds-139-5T,v017,2048,8,0.164,0.38650346295482,0.388225759797617
ds-139-5T,v020,2048,8,0.164,0.04142219839653967,0.04727315275709563
ds-139-5T,v022,2048,8,0.164,0.0654656302085234,0.06483509537166038
ds-139-5T,v024,2048,8,0.164,1.009848510457742,0.9658752844390085
ds-139-5T,v003,2435,8,0.164,0.08290106083491806,0.08504093876542396
ds-139-5T,v006,2435,8,0.164,0.15923871958715746,0.15835176139653592
ds-139-5T,v008,2435,8,0.164,0.6256246176850606,0.66833570998781
ds-139-5T,v016,2435,8,0.164,0.018997859578240198,0.02012717768198088
ds-139-5T,v017,2435,8,0.164,0.40320811429552156,0.40977427565785846
ds-139-5T,v020,2435,8,0.164,0.6776284026095056,0.738698592505732
ds-139-5T,v022,2435,8,0.164,0.07498080279416255,0.0684388762062296
ds-139-5T,v024,2435,8,0.164,0.13279626471827977,0.09756983870380924
ds-139-5T,v003,2822,8,0.164,0.04717173787485098,0.19343912826465764
ds-139-5T,v006,2822,8,0.164,1.6693818858915412,1.6627644155469323
ds-139-5T,v008,2822,8,0.164,1.1941231072723189,0.9651143144644801
ds-139-5T,v016,2822,8,0.164,0.26542744767015913,0.3253910628102178
ds-139-5T,v017,2822,8,0.164,1.1093516990014625,1.0924573383687262
ds-139-5T,v020,2822,8,0.164,1.66971198129811,2.7209168696059782
ds-139-5T,v022,2822,8,0.164,0.3192421971707799,0.5623953066050583
ds-139-5T,v024,2822,8,0.164,0.04300216059926919,0.03633656051195499
ds-139-5T,v003,3209,8,0.164,0.01589561730060348,0.005860025489301934
ds-139-5T,v006,3209,8,0.164,0.052108820049681905,0.07311281620721127
ds-139-5T,v008,3209,8,0.164,0.5401883040082455,0.30588993014964594
ds-139-5T,v016,3209,8,0.164,0.012830128632292303,0.009654442245542093
ds-139-5T,v017,3209,8,0.164,0.4863572145002934,0.39965744825174504
ds-139-5T,v020,3209,8,0.164,0.06263484982974915,0.07090532928226949
ds-139-5T,v022,3209,8,0.164,0.13685980304056622,0.15794142177088372
ds-139-5T,v024,3209,8,0.164,0.09866857558149851,0.06104125854641997
ds-139-5T,v003,3596,8,0.164,1.0984273292053341,1.0915464799599301
ds-139-5T,v006,3596,8,0.164,0.5461623694703459,0.5106487370979261
ds-139-5T,v008,3596,8,0.164,0.1839133567851501,0.145492753662436
ds-139-5T,v016,3596,8,0.164,0.009631476948336354,0.00529708929726161
ds-139-5T,v017,3596,8,0.164,0.573881442504793,0.5731712306835886
ds-139-5T,v020,3596,8,0.164,0.10486719434629047,0.15901222754608146
ds-139-5T,v022,3596,8,0.164,0.12506504534006338,0.1283615122860569
ds-139-5T,v024,3596,8,0.164,0.08188131230275134,0.05331835114418443
ds-139-5T,v003,3983,8,0.164,0.04144315887284833,0.04861602607311933
ds-139-5T,v006,3983,8,0.164,0.024183547213353206,0.02915797970086311
ds-139-5T,v008,3983,8,0.164,0.5091270317579086,0.4709375479283276
ds-139-5T,v016,3983,8,0.164,0.02319461625620213,0.021961154904467314
ds-139-5T,v017,3983,8,0.164,0.3400275521330023,0.2880174435102487
ds-139-5T,v020,3983,8,0.164,0.20147554015123875,0.11342481919406394
ds-139-5T,v022,3983,8,0.164,0.08090140783870158,0.06716188222883303
ds-139-5T,v024,3983,8,0.164,2.1890680240734337,0.019483616270790725
ds-1558-5T,v000,2048,8,0.198,0.005403615024976337,0.006000184930054091
ds-1558-5T,v002,2048,8,0.198,0.19967606965537651,0.18837568480069963
ds-1558-5T,v003,2048,8,0.198,0.10969199310251924,0.10099321788603496
ds-1558-5T,v004,2048,8,0.198,0.3096845954043131,0.29779332462685687
ds-1558-5T,v005,2048,8,0.198,0.041960628785314605,0.036292144257875435
ds-1558-5T,v006,2048,8,0.198,0.042320712450621786,0.0410086648380362
ds-1558-5T,v007,2048,8,0.198,0.8241381253453678,0.8301272124354002
ds-1558-5T,v008,2048,8,0.198,0.6010849600734456,0.603431031355873
ds-1558-5T,v000,2435,8,0.198,0.004818933153821327,0.005581406254364894
ds-1558-5T,v002,2435,8,0.198,0.15955359324739593,0.1802539315693212
ds-1558-5T,v003,2435,8,0.198,0.247273778810295,0.22819994143048541
